Protein_Accession	Sequence_MD5_digest	Sequence_Length	Analysis	Signature_Accession	Signature_Description	Start_Location	Stop_location	E-value_Score	Status	Date	InterPro_annotations_accession	InterPro_annotations_description
S0554	0d647ca1a8a13b33d5f423fbcdfdf3e6	56	Gene3D	G3DSA:3.30.1490.190		9	56	4.1E-10	T	18-04-2018
S0554	0d647ca1a8a13b33d5f423fbcdfdf3e6	56	Pfam	PF01475	Ferric uptake regulator family	2	54	1.3E-5	T	18-04-2018	IPR002481	Ferric-uptake regulator
S3076	2c93861572dca665d755e6b31b30bbc8	148	SUPERFAMILY	SSF51905		41	53	6.69E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3076	2c93861572dca665d755e6b31b30bbc8	148	SUPERFAMILY	SSF51905		80	148	6.69E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3076	2c93861572dca665d755e6b31b30bbc8	148	Gene3D	G3DSA:3.50.50.60		1	148	9.7E-38	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3076	2c93861572dca665d755e6b31b30bbc8	148	Pfam	PF04820	Tryptophan halogenase	4	147	3.6E-42	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0573	b5aff5004b2d9a8a0cfcc4b3f99026b6	76	Gene3D	G3DSA:3.40.50.880		13	76	2.1E-8	T	18-04-2018	IPR029062	Class I glutamine amidotransferase-like
S0573	b5aff5004b2d9a8a0cfcc4b3f99026b6	76	SUPERFAMILY	SSF52317		29	74	8.5E-5	T	18-04-2018	IPR029062	Class I glutamine amidotransferase-like
S2435	7dda841ca9cc4e47d92c83dd25f1ce7e	37	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S2220	82d133b195bb6f153c0442da33c5dcbf	106	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
S2220	82d133b195bb6f153c0442da33c5dcbf	106	MobiDBLite	mobidb-lite	consensus disorder prediction	49	106	-	T	18-04-2018
S2934	7c559b6a75fb0a27b8d93174c28e22a7	148	Pfam	PF04820	Tryptophan halogenase	4	99	3.5E-22	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2934	7c559b6a75fb0a27b8d93174c28e22a7	148	MobiDBLite	mobidb-lite	consensus disorder prediction	122	148	-	T	18-04-2018
S2934	7c559b6a75fb0a27b8d93174c28e22a7	148	Gene3D	G3DSA:3.50.50.60		1	104	2.9E-19	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3644	6bd467bae111711a2a0b4fec368aa016	66	Gene3D	G3DSA:3.40.50.980		1	66	8.9E-9	T	18-04-2018
S3644	6bd467bae111711a2a0b4fec368aa016	66	SUPERFAMILY	SSF56801		3	66	2.88E-7	T	18-04-2018
S2130	4929b266e8a6e2f2fa4ea35eecc060d3	29	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	18-04-2018
S2814	5b69ee50d1b8df5a1ad42de32e877c04	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S1133	d83bd33556ca272a9ae6f93ca76c0308	28	Gene3D	G3DSA:3.40.50.300		2	28	1.1E-5	T	18-04-2018
S2370	b17211a5fa3b1b93d6e71ec4b1bdba77	95	MobiDBLite	mobidb-lite	consensus disorder prediction	1	95	-	T	18-04-2018
S2542	ae02d9d6d5d44a0a71c9ca023a9997dd	70	ProSiteProfiles	PS50853	Fibronectin type-III domain profile.	10	70	10.777	T	18-04-2018	IPR003961	Fibronectin type III
S2542	ae02d9d6d5d44a0a71c9ca023a9997dd	70	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	18-04-2018
S2542	ae02d9d6d5d44a0a71c9ca023a9997dd	70	CDD	cd00063	FN3	12	65	0.00701798	T	18-04-2018	IPR003961	Fibronectin type III
S2542	ae02d9d6d5d44a0a71c9ca023a9997dd	70	SUPERFAMILY	SSF49265		5	69	4.65E-10	T	18-04-2018	IPR036116	Fibronectin type III superfamily
S2542	ae02d9d6d5d44a0a71c9ca023a9997dd	70	Gene3D	G3DSA:2.60.40.10		7	70	2.2E-8	T	18-04-2018	IPR013783	Immunoglobulin-like fold
S3117	2e9b83a61da10cf041035f74009ae894	151	Gene3D	G3DSA:3.50.50.60		1	151	2.7E-37	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3117	2e9b83a61da10cf041035f74009ae894	151	Pfam	PF04820	Tryptophan halogenase	2	149	6.1E-44	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3117	2e9b83a61da10cf041035f74009ae894	151	SUPERFAMILY	SSF51905		39	148	4.13E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0972	bf8088b289d29c51919d8bdf858126c0	59	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	18-04-2018
S0466	c4197164303136c41940a8ee9ce2b574	30	Gene3D	G3DSA:3.30.70.260		2	30	5.0E-5	T	18-04-2018
S0466	c4197164303136c41940a8ee9ce2b574	30	SUPERFAMILY	SSF55021		2	29	5.04E-5	T	18-04-2018
S0643	ae997aff3c757da0d5c3ae22f200fdb5	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S0729	3afdfea6c66368c7ed32f82ff184e891	31	Gene3D	G3DSA:2.120.10.30		1	31	2.6E-6	T	18-04-2018	IPR011042	Six-bladed beta-propeller, TolB-like
S0729	3afdfea6c66368c7ed32f82ff184e891	31	Pfam	PF07995	Glucose / Sorbosone dehydrogenase	1	31	8.2E-10	T	18-04-2018	IPR012938	Glucose/Sorbosone dehydrogenase
S0234	d86ddc43ebe93dd862a349a8c0e184c6	43	SUPERFAMILY	SSF52980		3	43	5.9E-7	T	18-04-2018	IPR011335	Restriction endonuclease  type II-like
S0234	d86ddc43ebe93dd862a349a8c0e184c6	43	Gene3D	G3DSA:3.90.320.10		1	43	6.9E-9	T	18-04-2018	IPR011604	Exonuclease, phage-type/RecB, C-terminal
S0646	ac021e3a853f66e96c467ab4e25c3589	103	Gene3D	G3DSA:3.20.20.80		1	103	2.3E-14	T	18-04-2018
S2371	3a4812f72651ed7917dd0dd1786f7d8a	56	MobiDBLite	mobidb-lite	consensus disorder prediction	1	56	-	T	18-04-2018
S2219	29e903c047fe9c2c04ad13223e04f283	66	MobiDBLite	mobidb-lite	consensus disorder prediction	1	66	-	T	18-04-2018
S1357	baf6c758962dc76417e970f083a61488	66	MobiDBLite	mobidb-lite	consensus disorder prediction	40	66	-	T	18-04-2018
S0797	a923486314fbd573ccfd566e8bf8374b	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S2213	8379d11f02a3edbc0b0b2b8d78e3ef4c	121	MobiDBLite	mobidb-lite	consensus disorder prediction	1	121	-	T	18-04-2018
S0650	415db7811f3896a513f6fa825aa583d9	148	Pfam	PF04820	Tryptophan halogenase	87	145	8.7E-7	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0650	415db7811f3896a513f6fa825aa583d9	148	SUPERFAMILY	SSF51905		58	146	2.01E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0650	415db7811f3896a513f6fa825aa583d9	148	Gene3D	G3DSA:3.50.50.60		52	148	5.6E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0941	f5687a2666954b894657b10a5fe708e3	66	Gene3D	G3DSA:3.30.360.10		1	66	3.1E-8	T	18-04-2018
S0941	f5687a2666954b894657b10a5fe708e3	66	SUPERFAMILY	SSF55347		6	50	4.09E-7	T	18-04-2018
S2752	bf6b477ff052ed9c875cbf90501a42fa	148	MobiDBLite	mobidb-lite	consensus disorder prediction	1	148	-	T	18-04-2018
S0207	366604e7fcccde27e55afe3bfc7872f2	30	Gene3D	G3DSA:1.10.630.10		1	30	1.1E-5	T	18-04-2018	IPR036396	Cytochrome P450 superfamily
S0207	366604e7fcccde27e55afe3bfc7872f2	30	SUPERFAMILY	SSF48264		3	29	1.96E-6	T	18-04-2018	IPR036396	Cytochrome P450 superfamily
S3281	89e7f0b166c369685a3fee739f6bc1eb	149	Pfam	PF04820	Tryptophan halogenase	4	66	5.5E-5	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3281	89e7f0b166c369685a3fee739f6bc1eb	149	MobiDBLite	mobidb-lite	consensus disorder prediction	117	149	-	T	18-04-2018
S3281	89e7f0b166c369685a3fee739f6bc1eb	149	Gene3D	G3DSA:3.50.50.60		1	116	1.8E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2546	0a15d41c784ba9e65de47431bb56abaa	54	Pfam	PF03241	4-hydroxyphenylacetate 3-hydroxylase C terminal	2	53	4.6E-14	T	18-04-2018	IPR024719	HpaB/PvcC/4-BUDH C-terminal
S2546	0a15d41c784ba9e65de47431bb56abaa	54	SUPERFAMILY	SSF47203		2	53	2.72E-11	T	18-04-2018	IPR036250	Acyl-CoA dehydrogenase-like, C-terminal
S2546	0a15d41c784ba9e65de47431bb56abaa	54	Gene3D	G3DSA:1.20.140.10		1	54	3.1E-19	T	18-04-2018
S1432	710c01b77dc9e1b54139c3866cb46c72	105	PRINTS	PR01020	Lipopolysaccharide core biosynthesis protein signature	52	70	1.9E-18	T	18-04-2018	IPR001980	Phosphopantetheine adenylyltransferase
S1432	710c01b77dc9e1b54139c3866cb46c72	105	PRINTS	PR01020	Lipopolysaccharide core biosynthesis protein signature	99	105	1.9E-18	T	18-04-2018	IPR001980	Phosphopantetheine adenylyltransferase
S1432	710c01b77dc9e1b54139c3866cb46c72	105	PRINTS	PR01020	Lipopolysaccharide core biosynthesis protein signature	70	91	1.9E-18	T	18-04-2018	IPR001980	Phosphopantetheine adenylyltransferase
S1432	710c01b77dc9e1b54139c3866cb46c72	105	SUPERFAMILY	SSF52374		52	104	1.95E-18	T	18-04-2018
S1432	710c01b77dc9e1b54139c3866cb46c72	105	Pfam	PF01467	Cytidylyltransferase-like	55	105	2.4E-12	T	18-04-2018	IPR004821	Cytidyltransferase-like domain
S1432	710c01b77dc9e1b54139c3866cb46c72	105	MobiDBLite	mobidb-lite	consensus disorder prediction	1	58	-	T	18-04-2018
S1432	710c01b77dc9e1b54139c3866cb46c72	105	Gene3D	G3DSA:3.40.50.620		43	105	3.1E-20	T	18-04-2018	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
S1432	710c01b77dc9e1b54139c3866cb46c72	105	TIGRFAM	TIGR00125	cyt_tran_rel: cytidyltransferase-like domain	54	105	2.2E-18	T	18-04-2018	IPR004821	Cytidyltransferase-like domain
S3290	147ee2f824fef570e3bdd99a87f36336	148	Gene3D	G3DSA:3.50.50.60		1	148	4.3E-16	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3290	147ee2f824fef570e3bdd99a87f36336	148	Pfam	PF04820	Tryptophan halogenase	4	148	1.7E-13	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0476	be6a224e3fa17e85eac357c3dac36cad	30	SUPERFAMILY	SSF55021		2	29	2.98E-6	T	18-04-2018
S0476	be6a224e3fa17e85eac357c3dac36cad	30	Gene3D	G3DSA:3.30.70.260		2	30	4.5E-6	T	18-04-2018
S2823	69ad8555a5271d114a9f36898d715a16	65	Pfam	PF05090	Vitamin K-dependent gamma-carboxylase	7	62	8.8E-12	T	18-04-2018	IPR007782	Vitamin K-dependent gamma-carboxylase
S2619	f648d5dc1599497c38e060805a24455b	78	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S3432	7e90b48dc0cb36785d443f6a03afbd5b	44	SUPERFAMILY	SSF53756		1	43	4.6E-8	T	18-04-2018
S3432	7e90b48dc0cb36785d443f6a03afbd5b	44	Gene3D	G3DSA:3.40.50.2000		2	44	1.0E-6	T	18-04-2018
S0895	25a2cb3162a87857c281c965f8709d43	34	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
S3584	67d799874c906fcd3a5e92688746e5a2	33	Gene3D	G3DSA:2.40.30.20		2	33	3.6E-5	T	18-04-2018	IPR023366	ATP synthase subunit alpha, N-terminal domain-like superfamily
S3584	67d799874c906fcd3a5e92688746e5a2	33	Pfam	PF00677	Lumazine binding domain	5	33	1.4E-4	T	18-04-2018	IPR026017	Lumazine-binding domain
S1065	c2ac9db847d6e8d4c8ce71850a800b23	94	MobiDBLite	mobidb-lite	consensus disorder prediction	1	42	-	T	18-04-2018
S2819	c87c055427865747e3f34b2adbce33a5	106	SUPERFAMILY	SSF69318		23	106	3.53E-15	T	18-04-2018
S2819	c87c055427865747e3f34b2adbce33a5	106	Pfam	PF13517	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	64	106	2.7E-7	T	18-04-2018
S2819	c87c055427865747e3f34b2adbce33a5	106	Pfam	PF13517	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	8	59	5.2E-7	T	18-04-2018
S1691	8bb8f7ba9d5df8e813646bba56468856	148	MobiDBLite	mobidb-lite	consensus disorder prediction	51	148	-	T	18-04-2018
S1316	61f43ed3d23de39b8ccbef5f3d512f52	41	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	18-04-2018
S0172	875685f49262725626e801e79e9e71ab	33	SUPERFAMILY	SSF53649		2	32	1.11E-6	T	18-04-2018	IPR017850	Alkaline-phosphatase-like, core domain superfamily
S0172	875685f49262725626e801e79e9e71ab	33	Gene3D	G3DSA:3.40.720.10		1	33	2.1E-8	T	18-04-2018	IPR017849	Alkaline phosphatase-like, alpha/beta/alpha
S2421	75d7b9aef77ab4590057e6b14d996c1f	37	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S0498	078288464e41f9d7770cafe30ee723a5	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S1902	d3d621c35f830e1d8b536a4f98085d66	68	Gene3D	G3DSA:1.10.3430.10		4	68	5.2E-7	T	18-04-2018	IPR029020	Ammonium/urea transporter
S1902	d3d621c35f830e1d8b536a4f98085d66	68	SUPERFAMILY	SSF111352		27	67	1.44E-6	T	18-04-2018
S1902	d3d621c35f830e1d8b536a4f98085d66	68	Pfam	PF00909	Ammonium Transporter Family	33	68	3.4E-5	T	18-04-2018	IPR024041	Ammonium transporter AmtB-like domain
S2091	fd5b59af20f815e48248df68603cca0c	152	SUPERFAMILY	SSF51905		87	150	6.6E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2091	fd5b59af20f815e48248df68603cca0c	152	Gene3D	G3DSA:3.50.50.60		1	152	2.4E-34	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2091	fd5b59af20f815e48248df68603cca0c	152	Pfam	PF04820	Tryptophan halogenase	2	151	1.8E-24	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3515	e059094beac7c8da5a406b701265c7fa	53	Pfam	PF00135	Carboxylesterase family	1	38	2.0E-9	T	18-04-2018	IPR002018	Carboxylesterase, type B
S3515	e059094beac7c8da5a406b701265c7fa	53	Gene3D	G3DSA:3.40.50.1820		1	52	3.1E-13	T	18-04-2018	IPR029058	Alpha/Beta hydrolase fold
S3515	e059094beac7c8da5a406b701265c7fa	53	SUPERFAMILY	SSF53474		1	39	7.27E-11	T	18-04-2018	IPR029058	Alpha/Beta hydrolase fold
S3592	167a90181fd426031538bd8b01a300b4	30	SUPERFAMILY	SSF55021		2	29	1.21E-5	T	18-04-2018
S3592	167a90181fd426031538bd8b01a300b4	30	Gene3D	G3DSA:3.30.70.260		2	30	4.3E-6	T	18-04-2018
S1714	b36c476b5b0dffca3ba3a1545cdfd277	148	Pfam	PF04820	Tryptophan halogenase	5	145	1.7E-13	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1714	b36c476b5b0dffca3ba3a1545cdfd277	148	Gene3D	G3DSA:3.50.50.60		2	148	1.8E-16	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1714	b36c476b5b0dffca3ba3a1545cdfd277	148	SUPERFAMILY	SSF51905		8	37	1.58E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1714	b36c476b5b0dffca3ba3a1545cdfd277	148	SUPERFAMILY	SSF51905		77	146	1.58E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1664	bf6f01697f96c8eb7b561aea21ab9ae6	148	Pfam	PF04820	Tryptophan halogenase	6	145	1.3E-13	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1664	bf6f01697f96c8eb7b561aea21ab9ae6	148	Gene3D	G3DSA:3.50.50.60		2	148	1.3E-15	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1664	bf6f01697f96c8eb7b561aea21ab9ae6	148	SUPERFAMILY	SSF51905		8	37	3.15E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1664	bf6f01697f96c8eb7b561aea21ab9ae6	148	SUPERFAMILY	SSF51905		77	146	3.15E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1353	70c7303f71bcc3c4af438fcccbf2698c	39	SUPERFAMILY	SSF50998		1	38	6.93E-11	T	18-04-2018	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily
S1353	70c7303f71bcc3c4af438fcccbf2698c	39	Gene3D	G3DSA:2.140.10.10		1	39	1.5E-14	T	18-04-2018
S3068	2ff0fe9e21857b9b8a38602f1650b82d	144	Pfam	PF04820	Tryptophan halogenase	4	143	2.1E-41	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3068	2ff0fe9e21857b9b8a38602f1650b82d	144	Gene3D	G3DSA:3.50.50.60		1	144	4.3E-37	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2118	9093ccc344038376457c2804317dfb08	37	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S1689	ebaa006664f3937e61599b2bfd671883	148	Pfam	PF04820	Tryptophan halogenase	5	145	9.2E-14	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1689	ebaa006664f3937e61599b2bfd671883	148	SUPERFAMILY	SSF51905		8	37	3.37E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1689	ebaa006664f3937e61599b2bfd671883	148	SUPERFAMILY	SSF51905		77	146	3.37E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1689	ebaa006664f3937e61599b2bfd671883	148	Gene3D	G3DSA:3.50.50.60		2	148	1.5E-16	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2288	f55d7bed7bda68bba1e057203119a9f4	52	MobiDBLite	mobidb-lite	consensus disorder prediction	23	52	-	T	18-04-2018
S2868	10e3b27c5b3343a7d6f3dced6bc587a3	64	Pfam	PF09363	XFP C-terminal domain	1	64	2.6E-30	T	18-04-2018	IPR018969	Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, C-terminal
S2868	10e3b27c5b3343a7d6f3dced6bc587a3	64	Gene3D	G3DSA:3.40.50.920		1	64	3.3E-27	T	18-04-2018	IPR009014	Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II
S0465	d19ccbc59dc877c5cf12e0b45d91a0ac	30	Gene3D	G3DSA:3.30.70.260		2	30	4.8E-5	T	18-04-2018
S0465	d19ccbc59dc877c5cf12e0b45d91a0ac	30	SUPERFAMILY	SSF55021		2	29	5.26E-5	T	18-04-2018
S3248	09ce8e1fb452ad091a921c3d04933693	134	Pfam	PF04820	Tryptophan halogenase	4	133	6.6E-10	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3248	09ce8e1fb452ad091a921c3d04933693	134	Gene3D	G3DSA:3.50.50.60		1	134	1.0E-11	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0818	9b33b7f17d16b0502d9e39e469fd0e47	43	MobiDBLite	mobidb-lite	consensus disorder prediction	1	43	-	T	18-04-2018
S1358	53aad1773169ffcbc3bdbfec69699225	52	MobiDBLite	mobidb-lite	consensus disorder prediction	1	52	-	T	18-04-2018
S2441	03490e5cbc21314364ca16da5acb2455	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S3427	fff5a1574683bcd9f6152458fefc7e8e	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S0010	20e45c737c6a04d607e5aa77fbd5decb	106	SUPERFAMILY	SSF56935		25	66	2.09E-6	T	18-04-2018
S0010	20e45c737c6a04d607e5aa77fbd5decb	106	SUPERFAMILY	SSF56935		96	103	2.09E-6	T	18-04-2018
S0010	20e45c737c6a04d607e5aa77fbd5decb	106	Pfam	PF00593	TonB dependent receptor	36	105	3.0E-6	T	18-04-2018	IPR000531	TonB-dependent receptor-like, beta-barrel
S0010	20e45c737c6a04d607e5aa77fbd5decb	106	Gene3D	G3DSA:2.40.170.20		14	106	1.7E-6	T	18-04-2018	IPR036942	TonB-dependent receptor-like, beta-barrel domain superfamily
S2458	b0d5ccc1b96db9b3f131452bdc3c36c1	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S2551	fe62a29f4b03bdbd8c34e5e7ac0b4ec1	106	SUPERFAMILY	SSF69318		23	105	3.01E-17	T	18-04-2018
S2551	fe62a29f4b03bdbd8c34e5e7ac0b4ec1	106	Pfam	PF13517	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	7	59	2.1E-7	T	18-04-2018
S2551	fe62a29f4b03bdbd8c34e5e7ac0b4ec1	106	Pfam	PF13517	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	64	106	8.4E-10	T	18-04-2018
S2550	1240bac5ad29dbfe865aa30a49babce3	106	SUPERFAMILY	SSF69318		22	105	6.67E-17	T	18-04-2018
S2550	1240bac5ad29dbfe865aa30a49babce3	106	Pfam	PF13517	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	64	106	2.3E-9	T	18-04-2018
S2550	1240bac5ad29dbfe865aa30a49babce3	106	Pfam	PF13517	Repeat domain in Vibrio, Colwellia, Bradyrhizobium and Shewanella	8	59	6.5E-8	T	18-04-2018
S2809	a12a52bedd30009f95c853dd449a310d	150	SUPERFAMILY	SSF56235		1	150	1.21E-43	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S2809	a12a52bedd30009f95c853dd449a310d	150	Pfam	PF00310	Glutamine amidotransferases class-II	2	147	1.4E-54	T	18-04-2018	IPR017932	Glutamine amidotransferase type 2 domain
S2809	a12a52bedd30009f95c853dd449a310d	150	ProSiteProfiles	PS51278	Glutamine amidotransferase type 2 domain profile.	1	150	9.678	T	18-04-2018	IPR017932	Glutamine amidotransferase type 2 domain
S2809	a12a52bedd30009f95c853dd449a310d	150	Gene3D	G3DSA:3.60.20.10		1	150	6.5E-54	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S0458	4cccf199e0f1893d0f1cff4d45adf5f5	30	SUPERFAMILY	SSF55021		2	29	1.58E-5	T	18-04-2018
S0458	4cccf199e0f1893d0f1cff4d45adf5f5	30	Gene3D	G3DSA:3.30.70.260		2	30	5.0E-6	T	18-04-2018
S1442	88a467b2f654d14e37cc82dbf2177cc9	152	Gene3D	G3DSA:3.50.50.60		2	152	2.7E-17	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1442	88a467b2f654d14e37cc82dbf2177cc9	152	Pfam	PF04820	Tryptophan halogenase	6	151	2.6E-14	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0893	be731998a39a96e36664bd5e15826fdb	157	MobiDBLite	mobidb-lite	consensus disorder prediction	1	109	-	T	18-04-2018
S0893	be731998a39a96e36664bd5e15826fdb	157	MobiDBLite	mobidb-lite	consensus disorder prediction	125	157	-	T	18-04-2018
S3227	2bdebf0548337ba5430357a0edf4b6c6	41	MobiDBLite	mobidb-lite	consensus disorder prediction	1	41	-	T	18-04-2018
S1891	edc4243e997e8a6aba5a3cad544f4567	35	Pfam	PF01695	IstB-like ATP binding protein	3	35	5.4E-6	T	18-04-2018	IPR002611	IstB-like ATP-binding protein
S0162	b3ff2911ae8002d9c4a8b11e61ccd75f	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S1857	48a8bd7b6b2d2cf35ba9e8c99e764bd4	117	MobiDBLite	mobidb-lite	consensus disorder prediction	14	38	-	T	18-04-2018
S1857	48a8bd7b6b2d2cf35ba9e8c99e764bd4	117	SUPERFAMILY	SSF141072		17	74	2.09E-9	T	18-04-2018	IPR038081	CalX-like domain superfamily
S1857	48a8bd7b6b2d2cf35ba9e8c99e764bd4	117	Gene3D	G3DSA:2.60.40.2030		1	73	9.6E-6	T	18-04-2018	IPR038081	CalX-like domain superfamily
S1443	95ee7421c063693706bf07643780323b	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S2821	e781f4d465fefdde1c3cf9559548c0d6	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S2801	7e046433ecdbd3d53cce72455ec24438	150	Gene3D	G3DSA:3.60.20.10		1	150	5.4E-57	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S2801	7e046433ecdbd3d53cce72455ec24438	150	ProSiteProfiles	PS51278	Glutamine amidotransferase type 2 domain profile.	47	150	10.763	T	18-04-2018	IPR017932	Glutamine amidotransferase type 2 domain
S2801	7e046433ecdbd3d53cce72455ec24438	150	Pfam	PF00310	Glutamine amidotransferases class-II	2	148	1.6E-57	T	18-04-2018	IPR017932	Glutamine amidotransferase type 2 domain
S2801	7e046433ecdbd3d53cce72455ec24438	150	SUPERFAMILY	SSF56235		1	150	8.78E-48	T	18-04-2018	IPR029055	Nucleophile aminohydrolases, N-terminal
S0644	f1c89104e60a3e8a9d1bbafd7d7cd0d1	42	MobiDBLite	mobidb-lite	consensus disorder prediction	1	42	-	T	18-04-2018
S2411	fd6e55e7f3248de0d5043fe69a6325c6	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S1052	bbc5818ea1b2802a4b2aa379d6375572	44	CDD	cd11534	NTP-PPase_HisIE_like	1	44	2.73254E-16	T	18-04-2018	IPR008179	Phosphoribosyl-ATP pyrophosphohydrolase
S1052	bbc5818ea1b2802a4b2aa379d6375572	44	Gene3D	G3DSA:1.10.287.1080		1	44	1.4E-10	T	18-04-2018
S1052	bbc5818ea1b2802a4b2aa379d6375572	44	TIGRFAM	TIGR03188	histidine_hisI: phosphoribosyl-ATP diphosphatase	1	44	5.9E-13	T	18-04-2018	IPR008179	Phosphoribosyl-ATP pyrophosphohydrolase
S1052	bbc5818ea1b2802a4b2aa379d6375572	44	SUPERFAMILY	SSF101386		1	43	1.1E-8	T	18-04-2018
S2883	a87211accc64370676266e0f52f9f978	48	Pfam	PF01262	Alanine dehydrogenase/PNT, C-terminal domain	2	45	1.3E-13	T	18-04-2018	IPR007698	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain
S2883	a87211accc64370676266e0f52f9f978	48	Gene3D	G3DSA:3.40.50.720		1	48	2.5E-17	T	18-04-2018
S2883	a87211accc64370676266e0f52f9f978	48	SUPERFAMILY	SSF51735		2	44	1.05E-6	T	18-04-2018	IPR036291	NAD(P)-binding domain superfamily
S1149	c2061fdc97d9eccac62d08f6ea3a3ed9	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S2610	4f2108aab84e23b834dd1e6e6b6d9607	34	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
